input[45]:1| output[0]:1
input[48]:0| output[1]:0
input[51]:0| output[2]:0
input[54]:0| output[3]:0
input[57]:0| output[4]:0
input[60]:0| output[5]:0
input[63]:0| output[6]:0
input[66]:0| output[7]:0
input[69]:0| output[8]:0
input[72]:0| output[9]:0
input[75]:0| output[10]:0
input[78]:0| output[11]:0
input[81]:1| output[12]:1
input[84]:1| output[13]:1
input[87]:0| output[14]:0
input[90]:1| output[15]:1
input[93]:0| output[16]:0
input[96]:1| output[17]:1
input[99]:1| output[18]:1
input[102]:0| output[19]:0
input[105]:0| output[20]:0
input[108]:0| output[21]:0
input[111]:1| output[22]:1
input[114]:0| output[23]:0
input[117]:0| output[24]:0
input[120]:1| output[25]:1
input[123]:0| output[26]:0
input[126]:1| output[27]:1
input[129]:1| output[28]:1
input[132]:1| output[29]:1
input[135]:1| output[30]:1
input[138]:1| output[31]:1
input[141]:0| output[32]:0
input[144]:0| output[33]:0
input[147]:0| output[34]:0
input[150]:0| output[35]:0
input[153]:1| output[36]:1
input[156]:1| output[37]:1
input[159]:1| output[38]:1
input[162]:0| output[39]:0
input[165]:1| output[40]:1
input[168]:1| output[41]:1
input[171]:1| output[42]:1
input[174]:0| output[43]:0
input[177]:1| output[44]:1
input[180]:1| output[45]:1
input[183]:0| output[46]:0
input[186]:0| output[47]:0
input[189]:1| output[48]:1
input[192]:0| output[49]:0
input[195]:1| output[50]:1
input[198]:0| output[51]:0
input[201]:1| output[52]:1
input[204]:1| output[53]:1
input[207]:1| output[54]:1
input[210]:0| output[55]:0
input[213]:1| output[56]:1
input[216]:0| output[57]:0
input[219]:1| output[58]:1
input[222]:0| output[59]:0
input[225]:0| output[60]:0
input[228]:1| output[61]:1
input[231]:1| output[62]:1
input[234]:0| output[63]:0
input[237]:1| output[64]:1
input[240]:0| output[65]:0
input[243]:0| output[66]:0
input[246]:1| output[67]:1
input[249]:0| output[68]:0
input[252]:0| output[69]:0
input[255]:0| output[70]:0
input[258]:0| output[71]:0
input[261]:1| output[72]:1
input[264]:1| output[73]:1
input[267]:0| output[74]:0
input[270]:1| output[75]:1
input[273]:1| output[76]:1
input[276]:1| output[77]:1
input[279]:0| output[78]:0
input[282]:1| output[79]:1
input[285]:0| output[80]:0
input[288]:0| output[81]:0
input[291]:1| output[82]:1
input[294]:1| output[83]:1
input[297]:0| output[84]:0
input[300]:1| output[85]:1
input[303]:0| output[86]:0
input[306]:0| output[87]:0
input[309]:1| output[88]:1
input[312]:0| output[89]:0
input[315]:0| output[90]:0
input[318]:0| output[91]:0
input[321]:1| output[92]:1
input[324]:1| output[93]:1
input[327]:1| output[94]:1
input[330]:0| output[95]:0
input[333]:0| output[96]:0
input[336]:1| output[97]:1
input[339]:1| output[98]:1
input[342]:1| output[99]:1
input[345]:0| output[100]:0
input[348]:1| output[101]:1
input[351]:0| output[102]:0
input[354]:0| output[103]:0
input[357]:0| output[104]:0
input[360]:0| output[105]:0
input[363]:1| output[106]:1
input[366]:1| output[107]:1
input[369]:0| output[108]:0
input[372]:0| output[109]:0
input[375]:0| output[110]:0
input[378]:1| output[111]:1
input[381]:0| output[112]:0
input[384]:1| output[113]:1
input[387]:1| output[114]:1
input[390]:0| output[115]:0
input[393]:1| output[116]:1
input[396]:0| output[117]:0
input[399]:1| output[118]:1
input[402]:0| output[119]:0
input[405]:1| output[120]:1
input[408]:1| output[121]:1
input[411]:1| output[122]:1
input[414]:0| output[123]:0
input[417]:0| output[124]:0
input[420]:1| output[125]:1
input[423]:0| output[126]:0
input[426]:1| output[127]:1
input[429]:1| output[128]:1
input[432]:0| output[129]:0
input[435]:1| output[130]:1
input[438]:1| output[131]:1
input[441]:1| output[132]:1
input[444]:1| output[133]:1
input[447]:1| output[134]:1
input[450]:1| output[135]:1
input[453]:1| output[136]:1
input[456]:1| output[137]:1
input[459]:1| output[138]:1
input[462]:1| output[139]:1
input[465]:0| output[140]:0
input[468]:1| output[141]:1
input[471]:1| output[142]:1
input[474]:0| output[143]:0
input[477]:1| output[144]:1
input[480]:0| output[145]:0
input[483]:0| output[146]:0
input[486]:0| output[147]:0
input[489]:1| output[148]:1
input[492]:1| output[149]:1
input[495]:1| output[150]:1
input[498]:0| output[151]:0
input[501]:1| output[152]:1
input[504]:0| output[153]:0
input[507]:0| output[154]:0
input[510]:0| output[155]:0
input[513]:0| output[156]:0
input[516]:0| output[157]:0
input[519]:0| output[158]:0
input[522]:0| output[159]:0
input[525]:0| output[160]:0
input[528]:1| output[161]:1
input[531]:1| output[162]:1
input[534]:1| output[163]:1
input[537]:1| output[164]:1
input[540]:1| output[165]:1
input[543]:1| output[166]:1
input[546]:0| output[167]:0
input[549]:1| output[168]:1
input[552]:1| output[169]:1
input[555]:0| output[170]:0
input[558]:1| output[171]:1
input[561]:1| output[172]:1
input[564]:0| output[173]:0
input[567]:0| output[174]:0
input[570]:1| output[175]:1
input[573]:0| output[176]:0
input[576]:1| output[177]:1
input[579]:0| output[178]:0
input[582]:1| output[179]:1
input[585]:1| output[180]:1
input[588]:0| output[181]:0
input[591]:1| output[182]:1
input[594]:1| output[183]:1
input[597]:0| output[184]:0
input[600]:1| output[185]:1
input[603]:0| output[186]:0
input[606]:0| output[187]:0
input[609]:1| output[188]:1
input[612]:0| output[189]:0
